,Gini
0,0.0
1,0.17068965517241386
2,0.26621052631578945
3,0.3249787234042554
4,0.3680714285714286
5,0.3991076923076923
6,0.4174594594594595
7,0.43631325301204815
8,0.4474347826086956
9,0.45657425742574254
10,0.46421818181818186
11,0.4707058823529412
12,0.47628125
13,0.4811240875912409
14,0.48273972602739723
15,0.48770322580645165
16,0.4911219512195122
17,0.494
18,0.49676923076923074
19,0.5012041884816754
20,0.50234
21,0.5043923444976076
22,0.505045871559633
23,0.5068281938325991
24,0.5084745762711864
25,0.51
26,0.5111968503937008
27,0.5125247148288974
28,0.5145
29,0.5141850533807829
30,0.5150620689655172
31,0.5173578595317726
32,0.5183116883116883
33,0.519211356466877
34,0.5200613496932516
35,0.520865671641791
36,0.5226860465116279
37,0.5243909348441926
38,0.52446408839779
39,0.5265714285714286
40,0.527
41,0.5262467866323908
42,0.52678391959799
43,0.5271302211302211
44,0.5279615384615385
45,0.5284282352941176
46,0.5292350230414746
47,0.5287178329571106
48,0.529141592920354
49,0.5295488069414317
50,0.529395744680851
51,0.5301503131524008
52,0.5305163934426229
53,0.5315855130784708
54,0.5322529644268774
55,0.5325631067961165
56,0.5321374045801527
57,0.5330994371482176
58,0.533380073800738
59,0.5336515426497277
60,0.5342071428571429
61,0.5340702987697715
62,0.5346297577854671
63,0.5354446337308347
64,0.5356644295302013
65,0.5358776859504133
66,0.5363452768729642
67,0.5367865168539325
68,0.536746835443038
69,0.5361716068642746
70,0.5364061538461539
71,0.5365918057663126
72,0.5367724550898203
73,0.5369483013293944
74,0.5370087463556852
75,0.5371769784172662
76,0.5371363636363636
77,0.5372987377279103
78,0.5372520775623268
79,0.5376005471956224
80,0.5377513513513514
81,0.5376261682242991
82,0.53777308707124
83,0.537916558018253
84,0.5377628865979381
85,0.5379031847133757
86,0.5377178841309824
87,0.5378555417185554
88,0.5379901477832512
89,0.5378440925700365
90,0.5375710843373493
91,0.537704410011919
92,0.5378066037735849
93,0.5379066511085181
94,0.5381247113163972
95,0.5384891428571429
96,0.5387058823529411
97,0.5385957446808511
98,0.5386385809312639
99,0.5389615806805708
