,Gini
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.001980000000000093
18,0.001980000000000093
19,0.001980000000000093
20,0.001980000000000093
21,0.001980000000000093
22,0.001980000000000093
23,0.001980000000000093
24,0.001980000000000093
25,0.001980000000000093
26,0.001980000000000093
27,0.001980000000000093
28,0.0039199999999999235
29,0.0039199999999999235
30,0.0039199999999999235
31,0.0039199999999999235
32,0.0039199999999999235
33,0.0039199999999999235
34,0.0039199999999999235
35,0.0039199999999999235
36,0.0039199999999999235
37,0.0039199999999999235
38,0.0039199999999999235
39,0.0039199999999999235
40,0.0039199999999999235
41,0.0039199999999999235
42,0.0039199999999999235
43,0.0039199999999999235
44,0.0039199999999999235
45,0.0039199999999999235
46,0.0039199999999999235
47,0.0039199999999999235
48,0.0039199999999999235
49,0.0039199999999999235
50,0.0039199999999999235
51,0.0039199999999999235
52,0.0039199999999999235
53,0.0039199999999999235
54,0.0039199999999999235
55,0.0039199999999999235
56,0.0039199999999999235
57,0.0039199999999999235
58,0.0039199999999999235
59,0.0039199999999999235
60,0.0039199999999999235
61,0.0039199999999999235
62,0.0039199999999999235
63,0.0039199999999999235
64,0.0039199999999999235
65,0.0039199999999999235
66,0.0039199999999999235
67,0.0039199999999999235
68,0.005819999999999936
69,0.005819999999999936
70,0.005819999999999936
71,0.005819999999999936
72,0.005819999999999936
73,0.005819999999999936
74,0.005819999999999936
75,0.005819999999999936
76,0.005819999999999936
77,0.005819999999999936
78,0.005819999999999936
79,0.005819999999999936
80,0.005819999999999936
81,0.005819999999999936
82,0.005819999999999936
83,0.005819999999999936
84,0.005819999999999936
85,0.007679999999999909
86,0.007679999999999909
87,0.007679999999999909
88,0.007679999999999909
89,0.007679999999999909
90,0.007679999999999909
91,0.007679999999999909
92,0.007679999999999909
93,0.007679999999999909
94,0.009500000000000064
95,0.009500000000000064
96,0.009500000000000064
97,0.009500000000000064
98,0.011279999999999957
99,0.011279999999999957
