,Gini
0,0.0
1,0.43756097560975615
2,1.097076923076923
3,2.085686274509804
4,3.6510526315789473
5,5.7026666666666666
6,8.774347826086958
7,13.681764705882353
8,20.31923076923077
9,32.49666666666667
10,40.1425
11,35.122
12,25.243333333333336
13,19.280476190476193
14,15.440714285714286
15,13.255142857142857
16,10.724347826086957
17,8.855762711864408
18,7.536301369863014
19,6.558636363636364
20,5.6322429906542055
21,4.951732283464567
22,4.414563758389262
23,4.001578947368421
24,3.593350253807107
25,3.2750000000000004
26,3.0130952380952385
27,2.7909252669039146
28,2.5951612903225807
29,2.4268823529411767
30,2.286
31,2.17665
32,2.074129930394432
33,1.9824675324675325
34,1.9026166328600405
35,1.8268380952380951
36,1.7590484739676842
37,1.7009677419354838
38,1.6503542673107892
39,1.5999388379204893
40,1.5571906841339156
41,1.5109166666666667
42,1.46657824933687
43,1.4271827411167513
44,1.391265206812652
45,1.3535280373831775
46,1.3233932584269663
47,1.292922077922078
48,1.2619624217118999
49,1.2362298387096775
50,1.2112475633528266
51,1.189245283018868
52,1.1719744058500914
53,1.1543971631205674
54,1.1377969018932874
55,1.1214715719063546
56,1.1066829268292684
57,1.093370253164557
58,1.0792604006163329
59,1.0646396396396396
60,1.0516691068814055
61,1.0405857142857142
62,1.0310460251046025
63,1.0197411444141689
64,1.0084953395472702
65,0.9987369791666667
66,0.9896433121019108
67,0.9818079800498754
68,0.9731868131868132
69,0.9660885167464115
70,0.9580304806565064
71,0.9512758620689655
72,0.942705749718151
73,0.9362057522123894
74,0.9301520086862106
75,0.9213539445628998
76,0.9148376963350785
77,0.9101646090534979
78,0.9046511627906977
79,0.8989065606361829
80,0.8930009775171066
81,0.8877980769230769
82,0.8827436140018922
83,0.8782774674115457
84,0.8725847846012833
85,0.8671931407942238
86,0.8619111111111111
87,0.8569264448336252
88,0.8540379637618637
89,0.8496683673469387
90,0.8449790444258173
91,0.8411735537190083
92,0.8383374083129584
93,0.8341398713826367
94,0.8300634417129262
95,0.8254694835680751
96,0.8214826254826255
97,0.8181631097560975
98,0.8151693002257336
99,0.811887072808321
