,Gini
0,0.0
1,0.09499999999999997
2,0.18000000000000005
3,0.21340000000000003
4,0.2744
5,0.3042
6,0.3426
7,0.3426
8,0.38639999999999997
9,0.39780000000000004
10,0.39780000000000004
11,0.39780000000000004
12,0.39780000000000004
13,0.4194
14,0.4296
15,0.45220000000000005
16,0.47819999999999996
17,0.47819999999999996
18,0.5014
19,0.5014
20,0.5014
21,0.5178
22,0.5358
23,0.5358
24,0.5358
25,0.5458000000000001
26,0.5458000000000001
27,0.5554
28,0.5554
29,0.5554
30,0.5554
31,0.5554
32,0.5554
33,0.5554
34,0.5646
35,0.5646
36,0.5646
37,0.5646
38,0.5646
39,0.5646
40,0.571
41,0.5822
42,0.5822
43,0.5822
44,0.5822
45,0.5822
46,0.5822
47,0.5822
48,0.5822
49,0.5822
50,0.5822
51,0.5822
52,0.5822
53,0.5822
54,0.5880000000000001
55,0.5880000000000001
56,0.5880000000000001
57,0.5880000000000001
58,0.5880000000000001
59,0.5880000000000001
60,0.5880000000000001
61,0.5880000000000001
62,0.5880000000000001
63,0.5880000000000001
64,0.5880000000000001
65,0.5880000000000001
66,0.5880000000000001
67,0.5880000000000001
68,0.5880000000000001
69,0.5880000000000001
70,0.5880000000000001
71,0.5880000000000001
72,0.5880000000000001
73,0.5880000000000001
74,0.5880000000000001
75,0.5880000000000001
76,0.5880000000000001
77,0.5880000000000001
78,0.5880000000000001
79,0.5880000000000001
80,0.5880000000000001
81,0.5880000000000001
82,0.5880000000000001
83,0.5880000000000001
84,0.5880000000000001
85,0.5880000000000001
86,0.5880000000000001
87,0.5880000000000001
88,0.5880000000000001
89,0.5880000000000001
90,0.5880000000000001
91,0.5880000000000001
92,0.5880000000000001
93,0.5880000000000001
94,0.5880000000000001
95,0.5880000000000001
96,0.5880000000000001
97,0.5880000000000001
98,0.5880000000000001
99,0.5880000000000001
