,Gini
0,0.0
1,0.11280000000000001
2,0.23219999999999996
3,0.2622
4,0.27659999999999996
5,0.3064
6,0.3328
7,0.37460000000000004
8,0.41259999999999997
9,0.4376
10,0.4606
11,0.477
12,0.48660000000000003
13,0.49960000000000004
14,0.5086
15,0.5112
16,0.5224
17,0.5429999999999999
18,0.5429999999999999
19,0.544
20,0.533
21,0.5446
22,0.533
23,0.521
24,0.521
25,0.5122
26,0.503
27,0.48119999999999996
28,0.46740000000000004
29,0.46740000000000004
30,0.44620000000000004
31,0.43500000000000005
32,0.40659999999999996
33,0.4182
34,0.40659999999999996
35,0.40659999999999996
36,0.39460000000000006
37,0.39460000000000006
38,0.40659999999999996
39,0.39460000000000006
40,0.3822
41,0.368
42,0.3416
43,0.3416
44,0.3258
45,0.31179999999999997
46,0.3258
47,0.3406
48,0.3406
49,0.3258
50,0.3258
51,0.3258
52,0.3258
53,0.3258
54,0.3258
55,0.2942
56,0.2942
57,0.2942
58,0.2942
59,0.3064
60,0.3064
61,0.3064
62,0.3198
63,0.3064
64,0.3064
65,0.29059999999999997
66,0.27659999999999996
67,0.27659999999999996
68,0.27659999999999996
69,0.27659999999999996
70,0.29059999999999997
71,0.29059999999999997
72,0.29059999999999997
73,0.27659999999999996
74,0.29059999999999997
75,0.29059999999999997
76,0.29059999999999997
77,0.29059999999999997
78,0.29059999999999997
79,0.29059999999999997
80,0.3042
81,0.3198
82,0.3198
83,0.3198
84,0.3064
85,0.3064
86,0.3064
87,0.3064
88,0.3064
89,0.3064
90,0.3064
91,0.3064
92,0.3064
93,0.3064
94,0.3042
95,0.3174
96,0.29059999999999997
97,0.29059999999999997
98,0.3042
99,0.3198
