,Gini
0,0.0
1,0.4434883720930233
2,0.9858904109589042
3,1.7533333333333334
4,2.978085106382979
5,5.007714285714286
6,8.771666666666667
7,18.883846153846154
8,70.42
9,-63.309999999999995
10,-25.047142857142855
11,-16.75782608695652
12,-13.990666666666668
13,-12.904285714285715
14,-12.475641025641027
15,-12.154651162790698
16,-12.078260869565218
17,-12.502765957446808
18,-12.915000000000001
19,-13.54625
20,-14.852608695652174
21,-18.202820512820512
22,-23.17375
23,-30.6164
24,-43.98555555555556
25,-91.32555555555555
26,0.0
27,73.06
28,37.68333333333333
29,25.1672972972973
30,19.176000000000002
31,15.593174603174603
32,13.093376623376622
33,11.258695652173913
34,9.957850467289719
35,8.825483870967743
36,7.909295774647887
37,7.1964999999999995
38,6.621685393258427
39,6.156326530612245
40,5.7750467289719625
41,5.372808510638298
42,5.03953125
43,4.758592057761732
44,4.52
45,4.310877742946708
46,4.110058651026393
47,3.9421212121212124
48,3.774909560723514
49,3.61252427184466
50,3.444109589041096
51,3.302817204301075
52,3.175081300813008
53,3.0560500963391135
54,2.9507692307692306
55,2.842695652173913
56,2.7340264026402643
57,2.629216300940439
58,2.532089552238806
59,2.4454700854700855
60,2.3680381471389644
61,2.292323759791123
62,2.228671679197995
63,2.168002406738869
64,2.1019444444444444
65,2.043511705685619
66,1.9956129032258065
67,1.9496469366562823
68,1.907871485943775
69,1.867378640776699
70,1.8238157894736842
71,1.7839162112932605
72,1.7456537102473497
73,1.713344768439108
74,1.6824666666666666
75,1.6563695299837926
76,1.6285173501577286
77,1.6032565284178188
78,1.578877245508982
79,1.5555474452554745
80,1.5346011396011396
81,1.5103198887343532
82,1.490217391304348
83,1.4697875166002656
84,1.4510779220779222
85,1.4332401524777636
86,1.4168283582089551
87,1.399056603773585
88,1.380512514898689
89,1.3647460595446586
90,1.350446224256293
91,1.3340044868199663
92,1.3203410341034103
93,1.307118186724231
94,1.295074152542373
95,1.2826365054602185
96,1.2708171603677223
97,1.2595233316608128
98,1.2494181459566076
99,1.2392001938923898
