Step,AgentID,Wealth,Steps_not_given,CarbonFootprint,RecyclingBehavior
1,1,1,0,1.3851979721270316,0.10371002028205334
1,2,1,0,1.9121860165262792,0.7548045099096776
1,3,1,0,1.9579104344404632,0.7121770440075494
1,4,1,0,1.290681656007987,0.7028367798832972
1,5,1,0,1.1591366490246504,0.862183787340835
1,6,1,0,1.793193133108124,0.004322986538412121
1,7,1,0,1.703807050749519,0.2919190264568663
1,8,1,0,0.5575276604899686,0.1417460780524311
1,9,1,0,0.78393650522004,0.9555376928051842
1,10,1,0,0.5650382460111998,0.6552172299834774
1,11,1,0,1.5808577844629759,0.4392332081670344
1,12,1,0,0.9549669279747834,0.2609915499447183
1,13,1,0,1.4611004843744857,0.7039924144088541
1,14,1,0,0.923035998703799,0.5042384845194888
1,15,1,0,1.4898482344596724,0.6579153236122567
1,16,1,0,1.920389849709054,0.6683917788743179
1,17,1,0,1.977196266266768,0.7326616438260698
1,18,1,0,1.9754863138500962,0.9740047109585035
1,19,1,0,1.5298294149720588,0.0494613611362652
1,20,1,0,1.361067388452323,0.9344173241186072
1,21,1,0,1.915353268696648,0.9217406287747576
1,22,1,0,1.8244343351078967,0.0757554973338892
1,23,1,0,1.2293407382532475,0.8292309104564828
1,24,1,0,1.1127897212628506,0.977453941593587
1,25,1,0,0.9523821167541576,0.041997174258124215
1,26,1,0,0.7522022050586823,0.4991857296588855
1,27,1,0,0.5847155742579296,0.5356186545377731
1,28,1,0,1.7193036482625832,0.8706001767295761
1,29,1,0,1.235826425487419,0.9820880652325319
1,30,1,0,1.9196764683768963,0.21302582970941963
1,31,1,0,1.5670458952275759,0.035032797172826036
1,32,1,0,0.8863727332699478,0.06221285739519622
1,33,1,0,1.382364254023282,0.32462794682846907
1,34,1,0,1.0135735421430345,0.28775295871902995
1,35,1,0,0.635474960780436,0.007906341117893123
1,36,1,0,0.9029129669958524,0.48570987416748035
1,37,1,0,1.2093845079819034,0.07350797675460918
1,38,1,0,0.8251279606554438,0.6239083951740241
1,39,1,0,0.5121615077155184,0.18156352162479095
1,40,1,0,1.5128657463104118,0.3104483700338607
1,41,1,0,1.4881101447670926,0.6790618140029085
1,42,1,0,1.137212284947277,0.4457557827413694
1,43,1,0,1.231587206970503,0.5632007179043467
1,44,1,0,1.5710311626489408,0.6360386431204555
1,45,1,0,1.1752608226710217,0.10129686726471832
1,46,1,0,0.6059061125224456,0.7880571669399322
1,47,1,0,0.5726100217842849,0.8445640283213023
1,48,1,0,0.8714779861336059,0.04462892243087002
1,49,1,0,0.9534009077461473,0.5504141723317191
1,50,1,0,1.3921772088722912,0.5801272503401638
1,51,1,0,0.9264152466646718,0.2908193175141185
1,52,1,0,1.6467457824433056,0.410108062735809
1,53,1,0,0.7199791247964373,0.9964325577687105
1,54,1,0,1.3802043313465333,0.8256659131340874
1,55,1,0,0.777161694794457,0.09774424733322573
1,56,1,0,0.6076798038545678,0.07431088612152148
1,57,1,0,0.5957330266554857,0.9686081892367135
1,58,1,0,1.496941964651966,0.6009584181815001
1,59,1,0,0.6197140382447222,0.6292934736983835
1,60,1,0,0.7731477895027346,0.4918857467326271
1,61,1,0,1.8630842908545353,0.018971212184436204
1,62,1,0,0.9345831737520585,0.3768999593956299
1,63,1,0,1.2740673611672715,0.893597320780101
1,64,1,0,1.727935783237554,0.8959524328756138
1,65,1,0,1.4745263317049813,0.6844740059326967
1,66,1,0,0.6944627449086856,0.9351673598559991
1,67,1,0,1.5120666902739106,0.2678676028422241
1,68,1,0,1.4732816117657714,0.32470210819820566
1,69,1,0,1.164135034718497,0.5800752910019514
1,70,1,0,0.8592202275343679,0.8865438437268731
1,71,1,0,1.139104699290863,0.7291473129129805
1,72,1,0,1.6940641183151515,0.8877277115713036
1,73,1,0,1.7211888458851752,0.30475636403939665
1,74,1,0,1.9351002272450022,0.3821999746139322
1,75,1,0,1.5504879791681316,0.24782029139874584
1,76,1,0,1.7770271695105948,0.0926358969785811
1,77,1,0,1.3732053693442268,0.30120590516900037
1,78,1,0,1.1856297077355527,0.019336992981284995
1,79,1,0,1.9877029776254524,0.226783254981889
1,80,1,0,0.7419962439755348,0.593366414971227
1,81,1,0,0.8227497695710785,0.48022290201262396
1,82,1,0,1.655498553572873,0.3205233293504821
1,83,1,0,1.1365342283409328,0.758866970450475
1,84,1,0,1.7687018914641175,0.722463858065849
