,Gini
0,0.0
1,0.09499999999999997
2,0.09499999999999997
3,0.09499999999999997
4,0.09499999999999997
5,0.07679999999999998
6,0.09499999999999997
7,0.13019999999999998
8,0.09499999999999997
9,0.13019999999999998
10,0.05820000000000003
11,0.09499999999999997
12,0.09499999999999997
13,0.07679999999999998
14,0.11280000000000001
15,0.07679999999999998
16,0.07679999999999998
17,0.11280000000000001
18,0.13019999999999998
19,0.09499999999999997
20,0.07679999999999998
21,0.09499999999999997
22,0.05820000000000003
23,0.09499999999999997
24,0.07679999999999998
25,0.11280000000000001
26,0.05820000000000003
27,0.07679999999999998
28,0.05820000000000003
29,0.07679999999999998
30,0.09499999999999997
31,0.05820000000000003
32,0.05820000000000003
33,0.03920000000000001
34,0.05820000000000003
35,0.05820000000000003
36,0.11280000000000001
37,0.11280000000000001
38,0.03920000000000001
39,0.05820000000000003
40,0.1472
41,0.09499999999999997
42,0.09499999999999997
43,0.05820000000000003
44,0.05820000000000003
45,0.05820000000000003
46,0.07679999999999998
47,0.11280000000000001
48,0.09499999999999997
49,0.11280000000000001
50,0.11280000000000001
51,0.09499999999999997
52,0.07679999999999998
53,0.09499999999999997
54,0.11280000000000001
55,0.13019999999999998
56,0.09499999999999997
57,0.11280000000000001
58,0.05820000000000003
59,0.03920000000000001
60,0.13019999999999998
61,0.11280000000000001
62,0.05820000000000003
63,0.09499999999999997
64,0.05820000000000003
65,0.11280000000000001
66,0.11280000000000001
67,0.11280000000000001
68,0.09499999999999997
69,0.09499999999999997
70,0.09499999999999997
71,0.09499999999999997
72,0.05820000000000003
73,0.09499999999999997
74,0.11280000000000001
75,0.11280000000000001
76,0.11280000000000001
77,0.13019999999999998
78,0.07679999999999998
79,0.07679999999999998
80,0.07679999999999998
81,0.13019999999999998
82,0.09499999999999997
83,0.11280000000000001
84,0.07679999999999998
85,0.09499999999999997
86,0.11280000000000001
87,0.09499999999999997
88,0.05820000000000003
89,0.09499999999999997
90,0.09499999999999997
91,0.07679999999999998
92,0.0
93,0.07679999999999998
94,0.05820000000000003
95,0.11280000000000001
96,0.11280000000000001
97,0.07679999999999998
98,0.05820000000000003
99,0.05820000000000003
