,Gini
0,0.0
1,0.11280000000000001
2,0.16380000000000006
3,0.24340000000000006
4,0.2744
5,0.3016
6,0.3146
7,0.34540000000000004
8,0.3808
9,0.3808
10,0.40880000000000005
11,0.40880000000000005
12,0.4246
13,0.4646
14,0.45940000000000003
15,0.49140000000000006
16,0.503
17,0.4942
18,0.4942
19,0.47819999999999996
20,0.487
21,0.5098
22,0.5146
23,0.5146
24,0.5122
25,0.5234000000000001
26,0.516
27,0.527
28,0.533
29,0.525
30,0.5182
31,0.5266
32,0.5386
33,0.5502
34,0.5434
35,0.5346
36,0.5346
37,0.5434
38,0.5358
39,0.5182
40,0.5206
41,0.5302
42,0.5446
43,0.5326
44,0.5512
45,0.5632
46,0.5726
47,0.5844
48,0.5646
49,0.5982000000000001
50,0.6064
51,0.5714
52,0.5742
53,0.5616
54,0.558
55,0.5660000000000001
56,0.5416000000000001
57,0.5496000000000001
58,0.5469999999999999
59,0.5294
60,0.544
61,0.5544
62,0.5544
63,0.5496000000000001
64,0.5496000000000001
65,0.5572
66,0.5756
67,0.5644
68,0.569
69,0.5616
70,0.5682
71,0.5682
72,0.5714
73,0.5616
74,0.5616
75,0.5646
76,0.5646
77,0.573
78,0.5806
79,0.5696
80,0.5526
81,0.5680000000000001
82,0.5854
83,0.5726
84,0.567
85,0.5686
86,0.5834
87,0.5836
88,0.5926
89,0.5776
90,0.5800000000000001
91,0.585
92,0.5706
93,0.5932
94,0.6202000000000001
95,0.6202000000000001
96,0.6144000000000001
97,0.5956
98,0.6066
99,0.5874
