,Gini
0,0.0
1,0.0
2,0.0
3,0.0
4,0.01980000000000004
5,0.09499999999999997
6,0.07679999999999998
7,0.09499999999999997
8,0.09499999999999997
9,0.09499999999999997
10,0.09499999999999997
11,0.11280000000000001
12,0.18000000000000005
13,0.18000000000000005
14,0.21120000000000005
15,0.22619999999999996
16,0.24080000000000001
17,0.22619999999999996
18,0.21120000000000005
19,0.21120000000000005
20,0.21120000000000005
21,0.22619999999999996
22,0.24080000000000001
23,0.24080000000000001
24,0.24080000000000001
25,0.24080000000000001
26,0.24340000000000006
27,0.22860000000000003
28,0.2602
29,0.2602
30,0.2602
31,0.2602
32,0.2602
33,0.3042
34,0.29059999999999997
35,0.29059999999999997
36,0.3064
37,0.33499999999999996
38,0.33499999999999996
39,0.3198
40,0.3198
41,0.3198
42,0.3064
43,0.3042
44,0.3042
45,0.3042
46,0.3042
47,0.3042
48,0.3042
49,0.3042
50,0.2744
51,0.2602
52,0.29059999999999997
53,0.29059999999999997
54,0.29059999999999997
55,0.29059999999999997
56,0.29059999999999997
57,0.3042
58,0.29059999999999997
59,0.29259999999999997
60,0.29259999999999997
61,0.29259999999999997
62,0.29259999999999997
63,0.2622
64,0.29059999999999997
65,0.3064
66,0.3064
67,0.3064
68,0.3064
69,0.3198
70,0.3478
71,0.3478
72,0.33499999999999996
73,0.3198
74,0.3328
75,0.3328
76,0.3198
77,0.3042
78,0.3174
79,0.2882
80,0.2744
81,0.2744
82,0.2744
83,0.2882
84,0.2882
85,0.3042
86,0.29059999999999997
87,0.29259999999999997
88,0.29259999999999997
89,0.30820000000000003
90,0.30820000000000003
91,0.2942
92,0.2964
93,0.27980000000000005
94,0.27980000000000005
95,0.27980000000000005
96,0.2942
97,0.2942
98,0.27980000000000005
99,0.27980000000000005
