,Gini
0,0.0
1,0.15000000000000002
2,0.2180909090909091
3,0.2641428571428571
4,0.28659824046920823
5,0.30091811414392056
6,0.31021459227467807
7,0.31618867924528304
8,0.32310924369747895
9,0.32763993948562786
10,0.3265706447187928
11,0.32508771929824565
12,0.3238869665513264
13,0.32205976520811097
14,0.32052631578947366
15,0.3184786641929499
16,0.3157913043478261
17,0.312420278004906
18,0.3100308641975309
19,0.3078962746530314
20,0.3059778085991678
21,0.30407260726072605
22,0.302825676526117
23,0.3003485576923077
24,0.2981771132834963
25,0.29618522601984565
26,0.2942328042328043
27,0.2921261444557477
28,0.2901860920666014
29,0.28812175554506847
30,0.2858215748748293
31,0.28194907813871817
32,0.27747988140618385
33,0.27381342062193126
34,0.27052985369711346
35,0.2663608562691132
36,0.2615532544378698
37,0.2563135289906944
38,0.25142857142857145
39,0.24570036949949614
40,0.23933593750000004
41,0.23361225134196406
42,0.22841201716738202
43,0.2238754840631516
44,0.21893974507531866
45,0.214798421201015
46,0.210076859730991
47,0.2057582241240974
48,0.20160886571056058
49,0.19766217247519713
50,0.1939036503600695
51,0.19050933786078095
52,0.18708461720786917
53,0.18381228273464656
54,0.18090002267059624
55,0.1775438207233193
56,0.17440486533449173
57,0.17165496702829186
58,0.16855803292352578
59,0.16535320538995513
60,0.16227536521913144
61,0.15931711145996863
62,0.1562868142444659
63,0.15355119002644502
64,0.15105321713332098
65,0.1485943190094683
66,0.14597925236988019
67,0.14361335676625664
68,0.14136292969424769
69,0.13900135869565222
70,0.13686821446467345
71,0.1349096286559317
72,0.1329102667744544
73,0.13097390197326542
74,0.12933573554754818
75,0.12742980561555073
76,0.12567239021425314
77,0.12395808383233531
78,0.1222938486502434
79,0.12051606338130538
80,0.11878922481730902
81,0.11711117389461789
82,0.11547987184844688
83,0.11381096304437421
84,0.11220897140533947
85,0.11070865088915627
86,0.10924792188943133
87,0.10782523766115382
88,0.1066628101298367
89,0.10511359309557056
90,0.10376613610728158
91,0.10248174278994926
92,0.10129722459958435
93,0.10021862543785487
94,0.09907745554362102
95,0.09790895152730272
96,0.09676768854178808
97,0.09565272496831434
98,0.0945631620913544
99,0.09349814168262194
