,Gini
0,0.0
1,0.18000000000000005
2,0.21120000000000005
3,0.27180000000000004
4,0.3546
5,0.4234
6,0.4438
7,0.4438
8,0.4566
9,0.47940000000000005
10,0.503
11,0.503
12,0.5114000000000001
13,0.5194000000000001
14,0.5376000000000001
15,0.5660000000000001
16,0.5806
17,0.6002000000000001
18,0.6202000000000001
19,0.6384000000000001
20,0.6384000000000001
21,0.6384000000000001
22,0.6482
23,0.6554
24,0.6646000000000001
25,0.6666000000000001
26,0.6666000000000001
27,0.6714
28,0.6772
29,0.6722
30,0.6708000000000001
31,0.6774
32,0.6638
33,0.655
34,0.6658
35,0.6606000000000001
36,0.6448
37,0.6448
38,0.6248
39,0.632
40,0.632
41,0.6355999999999999
42,0.6208
43,0.5952
44,0.5876
45,0.5796
46,0.5796
47,0.5728
48,0.5744
49,0.5644
50,0.5556
51,0.5556
52,0.5556
53,0.5438000000000001
54,0.5438000000000001
55,0.5468
56,0.536
57,0.523
58,0.523
59,0.523
60,0.523
61,0.48819999999999997
62,0.48819999999999997
63,0.476
64,0.46499999999999997
65,0.46499999999999997
66,0.46340000000000003
67,0.46340000000000003
68,0.4504
69,0.4504
70,0.4504
71,0.4504
72,0.4504
73,0.4504
74,0.4504
75,0.4504
76,0.4504
77,0.4366
78,0.41300000000000003
79,0.41300000000000003
80,0.397
81,0.4112
82,0.4112
83,0.4112
84,0.4112
85,0.4112
86,0.3964
87,0.3964
88,0.3812
89,0.36660000000000004
90,0.36660000000000004
91,0.36660000000000004
92,0.33840000000000003
93,0.35140000000000005
94,0.35140000000000005
95,0.3762
96,0.364
97,0.35140000000000005
98,0.364
99,0.364
