,Gini
0,0.0
1,0.13019999999999998
2,0.19579999999999997
3,0.25780000000000003
4,0.3204
5,0.37560000000000004
6,0.4306
7,0.4438
8,0.47940000000000005
9,0.48819999999999997
10,0.516
11,0.5122
12,0.5426
13,0.5660000000000001
14,0.5868
15,0.5996
16,0.6098
17,0.6184000000000001
18,0.6284000000000001
19,0.6138
20,0.622
21,0.6315999999999999
22,0.6394
23,0.6437999999999999
24,0.641
25,0.641
26,0.6228
27,0.6434
28,0.627
29,0.6042000000000001
30,0.5982000000000001
31,0.5814
32,0.5814
33,0.5814
34,0.5814
35,0.5814
36,0.5814
37,0.5814
38,0.5900000000000001
39,0.5900000000000001
40,0.5814
41,0.5814
42,0.5714
43,0.5498000000000001
44,0.5498000000000001
45,0.5378000000000001
46,0.5474
47,0.5458000000000001
48,0.5458000000000001
49,0.5458000000000001
50,0.5128
51,0.4878
52,0.47540000000000004
53,0.4858
54,0.4858
55,0.4858
56,0.47540000000000004
57,0.4858
58,0.47540000000000004
59,0.4626
60,0.4374
61,0.4374
62,0.4374
63,0.42579999999999996
64,0.42579999999999996
65,0.41380000000000006
66,0.4274
67,0.4506
68,0.4486
69,0.4486
70,0.4486
71,0.4486
72,0.43520000000000003
73,0.44620000000000004
74,0.4326
75,0.4326
76,0.4326
77,0.4326
78,0.4326
79,0.4326
80,0.4326
81,0.4326
82,0.4326
83,0.4326
84,0.40659999999999996
85,0.40659999999999996
86,0.40659999999999996
87,0.40659999999999996
88,0.40659999999999996
89,0.39480000000000004
90,0.39480000000000004
91,0.39480000000000004
92,0.40659999999999996
93,0.40959999999999996
94,0.40959999999999996
95,0.40959999999999996
96,0.39759999999999995
97,0.39759999999999995
98,0.39759999999999995
99,0.39759999999999995
