,Gini
0,0.0
1,0.0
2,0.0009949999999998571
3,0.0009949999999998571
4,0.0009949999999998571
5,0.0009949999999998571
6,0.0009949999999998571
7,0.0019799999999998708
8,0.002954999999999819
9,0.0039199999999999235
10,0.004874999999999963
11,0.0067549999999998445
12,0.005819999999999936
13,0.005819999999999936
14,0.005819999999999936
15,0.0067549999999998445
16,0.0067549999999998445
17,0.0067549999999998445
18,0.0067549999999998445
19,0.0067549999999998445
20,0.0067549999999998445
21,0.007679999999999909
22,0.009499999999999842
23,0.009499999999999842
24,0.009499999999999842
25,0.009499999999999842
26,0.009499999999999842
27,0.009499999999999842
28,0.009499999999999842
29,0.010394999999999932
30,0.010394999999999932
31,0.010394999999999932
32,0.010394999999999932
33,0.010394999999999932
34,0.010394999999999932
35,0.010394999999999932
36,0.011279999999999846
37,0.012154999999999916
38,0.012154999999999916
39,0.012154999999999916
40,0.01301999999999992
41,0.01387499999999986
42,0.014719999999999844
43,0.014719999999999844
44,0.015554999999999874
45,0.01637999999999984
46,0.01637999999999984
47,0.01637999999999984
48,0.01637999999999984
49,0.01637999999999984
50,0.01637999999999984
51,0.01637999999999984
52,0.01637999999999984
53,0.01637999999999984
54,0.01637999999999984
55,0.01719499999999985
56,0.017999999999999905
57,0.017999999999999905
58,0.01968499999999984
59,0.01968499999999984
60,0.01968499999999984
61,0.01968499999999984
62,0.01968499999999984
63,0.01968499999999984
64,0.01968499999999984
65,0.020464999999999844
66,0.021234999999999893
67,0.021234999999999893
68,0.021234999999999893
69,0.021234999999999893
70,0.021234999999999893
71,0.021234999999999893
72,0.021994999999999876
73,0.021994999999999876
74,0.021994999999999876
75,0.021994999999999876
76,0.021994999999999876
77,0.022869999999999946
78,0.022869999999999946
79,0.02361499999999994
80,0.024474999999999913
81,0.024474999999999913
82,0.024474999999999913
83,0.024474999999999913
84,0.024474999999999913
85,0.025204999999999922
86,0.025204999999999922
87,0.025204999999999922
88,0.02703499999999992
89,0.02703499999999992
90,0.02703499999999992
91,0.02703499999999992
92,0.02703499999999992
93,0.02703499999999992
94,0.027874999999999872
95,0.028714999999999935
96,0.028714999999999935
97,0.028714999999999935
98,0.028714999999999935
99,0.028714999999999935
