,Gini
0,0.0
1,0.09499999999999997
2,0.19779999999999998
3,0.26260000000000006
4,0.277
5,0.29100000000000004
6,0.3486
7,0.37560000000000004
8,0.39880000000000004
9,0.4242
10,0.4242
11,0.4346
12,0.47140000000000004
13,0.47140000000000004
14,0.48460000000000003
15,0.5062
16,0.5062
17,0.518
18,0.518
19,0.5412
20,0.5534
21,0.5640000000000001
22,0.5640000000000001
23,0.5760000000000001
24,0.5868
25,0.5972
26,0.6068
27,0.5924
28,0.5728
29,0.5808
30,0.5906
31,0.5876
32,0.5788
33,0.5948
34,0.6168
35,0.6156
36,0.6242000000000001
37,0.6136
38,0.6235999999999999
39,0.6226
40,0.6262000000000001
41,0.6262000000000001
42,0.6262000000000001
43,0.6262000000000001
44,0.6164000000000001
45,0.5972
46,0.5972
47,0.6006
48,0.6006
49,0.6006
50,0.6096
51,0.5992
52,0.5992
53,0.5984
54,0.5984
55,0.5876
56,0.5876
57,0.579
58,0.5606
59,0.5700000000000001
60,0.5700000000000001
61,0.56
62,0.5496000000000001
63,0.5258
64,0.5156000000000001
65,0.5024
66,0.49939999999999996
67,0.49939999999999996
68,0.5194000000000001
69,0.5194000000000001
70,0.5052
71,0.49540000000000006
72,0.49540000000000006
73,0.49540000000000006
74,0.49540000000000006
75,0.49540000000000006
76,0.49540000000000006
77,0.5052
78,0.49540000000000006
79,0.49540000000000006
80,0.49540000000000006
81,0.49540000000000006
82,0.49540000000000006
83,0.4818
84,0.4918
85,0.4918
86,0.4818
87,0.47140000000000004
88,0.47140000000000004
89,0.4606
90,0.4606
91,0.4366
92,0.42479999999999996
93,0.41059999999999997
94,0.41059999999999997
95,0.4082
96,0.39460000000000006
97,0.39460000000000006
98,0.40659999999999996
99,0.40659999999999996
